name,rating,genre,year,score,director,budget,gross,company,time
The Shining,R,Drama,1980,8.4,Stanley Kubrick,19000000.0,46998772.0,Warner Bros.,1980's
The Blue Lagoon,R,Adventure,1980,5.8,Randal Kleiser,4500000.0,58853106.0,Columbia Pictures,1980's
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,Irvin Kershner,18000000.0,538375067.0,Lucasfilm,1980's
Airplane!,PG,Comedy,1980,7.7,Jim Abrahams,3500000.0,83453539.0,Paramount Pictures,1980's
Caddyshack,R,Comedy,1980,7.3,Harold Ramis,6000000.0,39846344.0,Orion Pictures,1980's
Friday the 13th,R,Horror,1980,6.4,Sean S. Cunningham,550000.0,39754601.0,Paramount Pictures,1980's
The Blues Brothers,R,Action,1980,7.9,John Landis,27000000.0,115229890.0,Universal Pictures,1980's
Raging Bull,R,Biography,1980,8.2,Martin Scorsese,18000000.0,23402427.0,Chartoff-Winkler Productions,1980's
Superman II,PG,Action,1980,6.8,Richard Lester,54000000.0,108185706.0,Dovemead Films,1980's
The Long Riders,R,Biography,1980,7.0,Walter Hill,10000000.0,15795189.0,United Artists,1980's
Any Which Way You Can,PG,Action,1980,6.1,Buddy Van Horn,15000000.0,70687344.0,The Malpaso Company,1980's
The Gods Must Be Crazy,PG,Adventure,1980,7.3,Jamie Uys,5000000.0,30031783.0,C.A.T. Films,1980's
Popeye,PG,Adventure,1980,5.3,Robert Altman,20000000.0,49823037.0,Paramount Pictures,1980's
Ordinary People,R,Drama,1980,7.7,Robert Redford,6000000.0,54766923.0,Paramount Pictures,1980's
Dressed to Kill,R,Crime,1980,7.1,Brian De Palma,6500000.0,31899000.0,Filmways Pictures,1980's
Somewhere in Time,PG,Drama,1980,7.2,Jeannot Szwarc,5100000.0,9709597.0,Rastar Pictures,1980's
Fame,R,Drama,1980,6.6,Alan Parker,35633551.262477234,21202829.0,Metro-Goldwyn-Mayer (MGM),1980's
9 to 5,PG,Comedy,1980,6.9,Colin Higgins,10000000.0,103300686.0,IPC Films,1980's
The Fog,R,Horror,1980,6.8,John Carpenter,1000000.0,21448782.0,AVCO Embassy Pictures,1980's
Stir Crazy,R,Comedy,1980,6.8,Sidney Poitier,35633551.262477234,101300000.0,Columbia Pictures,1980's
Cruising,R,Crime,1980,6.5,William Friedkin,11000000.0,19814523.0,Lorimar Film Entertainment,1980's
Heaven's Gate,R,Adventure,1980,6.8,Michael Cimino,44000000.0,3484523.0,Partisan Productions,1980's
The Final Countdown,PG,Action,1980,6.7,Don Taylor,12000000.0,16647800.0,Bryna Productions,1980's
Xanadu,PG,Fantasy,1980,5.3,Robert Greenwald,20000000.0,22762571.0,Universal Pictures,1980's
Urban Cowboy,PG,Drama,1980,6.4,James Bridges,35633551.262477234,46918287.0,Paramount Pictures,1980's
Altered States,R,Horror,1980,6.9,Ken Russell,35633551.262477234,19853892.0,Warner Bros.,1980's
Little Darlings,R,Comedy,1980,6.5,Ron Maxwell,35633551.262477234,34326249.0,Stephen Friedman/Kings Road Productions,1980's
Raise the Titanic,PG,Action,1980,5.0,Jerry Jameson,36000000.0,78599553.90186103,ITC Films,1980's
Brubaker,R,Crime,1980,7.2,Stuart Rosenberg,9000000.0,37121708.0,Twentieth Century Fox,1980's
American Gigolo,R,Crime,1980,6.2,Paul Schrader,4800000.0,22743674.0,Paramount Pictures,1980's
My Bodyguard,PG,Comedy,1980,7.1,Tony Bill,35633551.262477234,22482952.0,Twentieth Century Fox,1980's
Prom Night,R,Horror,1980,5.4,Paul Lynch,35633551.262477234,14796236.0,Guardian Trust Company,1980's
Smokey and the Bandit II,PG,Action,1980,5.3,Hal Needham,35633551.262477234,66132626.0,Universal Pictures,1980's
Cattle Annie and Little Britches,PG,Drama,1980,6.1,Lamont Johnson,5100000.0,534816.0,Cattle Annie Productions,1980's
Seems Like Old Times,PG,Comedy,1980,6.7,Jay Sandrich,35633551.262477234,43995918.0,Rastar Films,1980's
Private Benjamin,R,Comedy,1980,6.2,Howard Zieff,10000000.0,69847348.0,Warner Bros.,1980's
The Hollywood Knights,R,Comedy,1980,6.3,Floyd Mutrux,4000000.0,10000000.0,PolyGram Filmed Entertainment,1980's
Motel Hell,R,Comedy,1980,6.0,Kevin Connor,3000000.0,6342668.0,Camp Hill,1980's
The Jazz Singer,PG,Drama,1980,5.9,Richard Fleischer,35633551.262477234,27118000.0,EMI Films,1980's
Coal Miner's Daughter,PG,Biography,1980,7.5,Michael Apted,35633551.262477234,67182787.0,Universal Pictures,1980's
The Watcher in the Woods,PG,Family,1980,6.3,John Hough,35633551.262477234,5000000.0,Walt Disney Productions,1980's
Breaker Morant,PG,Drama,1980,7.9,Bruce Beresford,35633551.262477234,78599553.90186103,The South Australian Film Corporation,1980's
The Stunt Man,R,Action,1980,7.1,Richard Rush,3500000.0,7063886.0,Melvin Simon Productions,1980's
Where the Buffalo Roam,R,Biography,1980,6.6,Art Linson,35633551.262477234,6659377.0,Universal Pictures,1980's
The Awakening,R,Horror,1980,4.8,Mike Newell,35633551.262477234,8415112.0,EMI Films,1980's
Cheech and Chong's Next Movie,R,Comedy,1980,6.1,Tommy Chong,35633551.262477234,41675194.0,Universal Pictures,1980's
The Island,R,Action,1980,5.3,Michael Ritchie,22000000.0,15716828.0,Universal Pictures,1980's
The Boogey Man,R,Horror,1980,4.6,Ulli Lommel,300000.0,78599553.90186103,The Jerry Gross Organization,1980's
The Nude Bomb,PG,Action,1980,5.1,Clive Donner,15000000.0,14662035.0,Universal Pictures,1980's
Lion of the Desert,PG,Biography,1980,8.3,Moustapha Akkad,35000000.0,78599553.90186103,Falcon International Productions,1980's
Stardust Memories,PG,Comedy,1980,7.3,Woody Allen,10000000.0,10389003.0,Jack Rollins & Charles H. Joffe Productions,1980's
Melvin and Howard,R,Comedy,1980,6.8,Jonathan Demme,7000000.0,4309490.0,Universal Pictures,1980's
Can't Stop the Music,PG,Biography,1980,4.2,Nancy Walker,20000000.0,78599553.90186103,EMI Films,1980's
Bronco Billy,PG,Action,1980,6.1,Clint Eastwood,6500000.0,24265659.0,Warner Bros.,1980's
City of Women,R,Comedy,1980,7.0,Federico Fellini,35633551.262477234,12516.0,Opera Film Produzione,1980's
The Private Eyes,PG,Comedy,1980,6.7,Lang Elliott,35633551.262477234,78599553.90186103,Tri Star Productions,1980's
When Time Ran Out...,PG,Action,1980,4.6,James Goldstone,20000000.0,3763988.0,International Cinema,1980's
Oh Heavenly Dog,PG,Comedy,1980,5.4,Joe Camp,6000000.0,6216067.0,Mulberry Square Productions,1980's
The Octagon,R,Action,1980,5.1,Eric Karson,4000000.0,18971000.0,American Cinema Productions,1980's
Hangar 18,PG,Sci-Fi,1980,5.3,James L. Conway,11000000.0,78599553.90186103,Sunn Classic Pictures,1980's
Herbie Goes Bananas,G,Adventure,1980,5.0,Vincent McEveety,35633551.262477234,18000000.0,Walt Disney Productions,1980's
The Competition,PG,Drama,1980,6.7,Joel Oliansky,35633551.262477234,14287755.0,Rastar Films,1980's
It's My Turn,R,Comedy,1980,5.5,Claudia Weill,35633551.262477234,78599553.90186103,Rastar Films,1980's
Honeysuckle Rose,PG,Drama,1980,6.3,Jerry Schatzberg,35633551.262477234,17815212.0,Major Studio Partners,1980's
Resurrection,PG,Drama,1980,7.3,Daniel Petrie,35633551.262477234,3910019.0,Universal Pictures,1980's
Fatso,PG,Comedy,1980,6.3,Anne Bancroft,35633551.262477234,7653061.0,Brooksfilms,1980's
Moscow Does Not Believe in Tears,PG,Comedy,1980,8.1,Vladimir Menshov,900000.0,78599553.90186103,Mosfilm,1980's
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,5.1,Piers Haggard,35633551.262477234,10697276.0,Braun Entertainment Group,1980's
Serial,R,Comedy,1980,6.6,Bill Persky,35633551.262477234,9870727.0,Paramount Pictures,1980's
Hero at Large,PG,Comedy,1980,6.0,Martin Davidson,35633551.262477234,15934737.0,Kings Road Entertainment,1980's
Wholly Moses!,PG,Comedy,1980,4.7,Gary Weis,35633551.262477234,14155617.0,Columbia Pictures,1980's
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,7.3,Bill Melendez,35633551.262477234,2013193.0,Lee Mendelson Film Productions,1980's
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,5.5,Marty Feldman,35633551.262477234,5215015.0,Universal Pictures,1980's
Roadie,PG,Comedy,1980,5.2,Alan Rudolph,35633551.262477234,4226370.0,Alive Enterprises,1980's
Just Tell Me What You Want,R,Comedy,1980,5.5,Sidney Lumet,35633551.262477234,2086905.0,Warner Bros.,1980's
The Last Flight of Noah's Ark,G,Adventure,1980,5.8,Charles Jarrott,6000000.0,11000000.0,Walt Disney Productions,1980's
Little Miss Marker,PG,Comedy,1980,6.3,Walter Bernstein,35633551.262477234,6321392.0,Universal Pictures,1980's
Willie & Phil,R,Comedy,1980,5.9,Paul Mazursky,5500000.0,4400000.0,Twentieth Century Fox,1980's
Babylon,R,Drama,1980,7.4,Franco Rosso,35633551.262477234,109749.0,Diversity Music,1980's
Windwalker,PG,Adventure,1980,6.9,Kieth Merrill,3000000.0,78599553.90186103,Santa Fe International,1980's
Phobia,R,Drama,1980,4.0,John Huston,5100000.0,59167.0,Borough Park Productions,1980's
Windows,R,Drama,1980,4.8,Gordon Willis,35633551.262477234,2128395.0,Mike Lobell Productions,1980's
Loving Couples,PG,Comedy,1980,5.2,Jack Smight,35633551.262477234,2806659.0,Time Life Films,1980's
The King and the Mockingbird,Not Rated,Animation,1980,7.9,Paul Grimault,35633551.262477234,167451.0,Les Films Paul Grimault,1980's
"Oh, God! Book II",PG,Comedy,1980,5.2,Gilbert Cates,35633551.262477234,14504277.0,Warner Bros.,1980's
"Those Lips, Those Eyes",R,Comedy,1980,6.5,Michael Pressman,35633551.262477234,804713.0,Herb Jaffe,1980's
La Cage aux Folles II,R,Comedy,1980,5.8,Édouard Molinaro,35633551.262477234,6950125.0,Da.Ma. Cinematografica,1980's
The Gong Show Movie,R,Comedy,1980,4.3,Chuck Barris,35633551.262477234,6621520.0,Chuck Barris Productions,1980's
Gilda Live,R,Comedy,1980,6.8,Mike Nichols,35633551.262477234,2261507.0,Broadway Productions,1980's
Why Would I Lie?,PG,Comedy,1980,6.5,Larry Peerce,35633551.262477234,1175855.0,Metro-Goldwyn-Mayer (MGM),1980's
First Family,R,Comedy,1980,4.3,Buck Henry,35633551.262477234,15198912.0,F.F. Associates,1980's
Mantis Fist Fighter,R,Action,1980,6.7,Wing-Cho Yip,35633551.262477234,78599553.90186103,East Asia Film Company,1980's
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,8.4,Steven Spielberg,18000000.0,389925971.0,Paramount Pictures,1980's
Body Heat,R,Crime,1981,7.4,Lawrence Kasdan,35633551.262477234,24058838.0,The Ladd Company,1980's
An American Werewolf in London,R,Comedy,1981,7.5,John Landis,10000000.0,30669378.0,Polygram Pictures,1980's
Escape from New York,R,Action,1981,7.2,John Carpenter,6000000.0,25244626.0,AVCO Embassy Pictures,1980's
The Evil Dead,NC-17,Horror,1981,7.5,Sam Raimi,350000.0,2956630.0,Renaissance Pictures,1980's
Porky's,R,Comedy,1981,6.2,Bob Clark,2500000.0,111289673.0,Astral Bellevue Pathé,1980's
Blow Out,R,Crime,1981,7.4,Brian De Palma,18000000.0,12000000.0,Filmways Pictures,1980's
Clash of the Titans,PG,Action,1981,6.9,Desmond Davis,15000000.0,41092328.0,Charles H. Schneer Productions,1980's
Excalibur,R,Adventure,1981,7.4,John Boorman,11000000.0,34971136.0,Cinema '84,1980's
Mad Max 2,R,Action,1981,7.6,George Miller,3000000.0,23668369.0,Kennedy Miller Productions,1980's
Das Boot,R,Adventure,1981,8.3,Wolfgang Petersen,35633551.262477234,11487676.0,Bavaria Film,1980's
Stripes,R,Comedy,1981,6.9,Ivan Reitman,10000000.0,85297000.0,Columbia Pictures,1980's
Possession,R,Drama,1981,7.4,Andrzej Zulawski,35633551.262477234,1113538.0,Gaumont,1980's
The Cannonball Run,PG,Action,1981,6.2,Hal Needham,18000000.0,72179579.0,Golden Harvest Company,1980's
Thief,R,Action,1981,7.4,Michael Mann,5500000.0,11492915.0,Mann/Caan Productions,1980's
Endless Love,R,Drama,1981,4.9,Franco Zeffirelli,35633551.262477234,32492674.0,PolyGram Filmed Entertainment,1980's
Time Bandits,PG,Adventure,1981,7.0,Terry Gilliam,5000000.0,42368025.0,HandMade Films,1980's
The Four Seasons,PG,Comedy,1981,6.8,Alan Alda,35633551.262477234,50427646.0,Universal Pictures,1980's
Friday the 13th Part 2,R,Horror,1981,6.1,Steve Miner,1250000.0,21722776.0,Georgetown Productions Inc.,1980's
Scanners,R,Horror,1981,6.8,David Cronenberg,35633551.262477234,14225876.0,Canadian Film Development Corporation (CFDC),1980's
For Your Eyes Only,PG,Action,1981,6.7,John Glen,28000000.0,54813222.0,Eon Productions,1980's
Halloween II,R,Horror,1981,6.5,Rick Rosenthal,2500000.0,25533818.0,Dino De Laurentiis Company,1980's
Taps,PG,Drama,1981,6.8,Harold Becker,14000000.0,35856053.0,Major Studio Partners,1980's
Reds,PG,Biography,1981,7.3,Warren Beatty,32000000.0,40382659.0,Barclays Mercantile Industrial Finance,1980's
On Golden Pond,PG,Drama,1981,7.6,Mark Rydell,35633551.262477234,119285432.0,IPC Films,1980's
The Fox and the Hound,G,Animation,1981,7.3,Directors,12000000.0,63456988.0,Walt Disney Animation Studios,1980's
Chariots of Fire,PG,Biography,1981,7.2,Hugh Hudson,5500000.0,59303359.0,Enigma Productions,1980's
Absence of Malice,PG,Drama,1981,6.9,Sydney Pollack,12000000.0,40716963.0,Columbia Pictures,1980's
Tarzan the Ape Man,Approved,Adventure,1981,3.4,John Derek,6500000.0,36565280.0,Metro-Goldwyn-Mayer (MGM),1980's
Victory,PG,Drama,1981,6.7,John Huston,10000000.0,10853418.0,Lorimar Film Entertainment,1980's
Arthur,PG,Comedy,1981,6.9,Steve Gordon,7000000.0,95461682.0,Orion Pictures,1980's
My Dinner with Andre,PG,Biography,1981,7.8,Louis Malle,35633551.262477234,5073.0,Saga Productions Inc.,1980's
Caveman,PG,Comedy,1981,5.8,Carl Gottlieb,35633551.262477234,15965924.0,Estudios Churubusco Azteca S.A.,1980's
Dead & Buried,R,Horror,1981,6.6,Gary Sherman,3000000.0,78599553.90186103,Aspen Productions (I),1980's
History of the World: Part I,R,Comedy,1981,6.9,Mel Brooks,11000000.0,31672907.0,Brooksfilms,1980's
The Howling,R,Horror,1981,6.6,Joe Dante,1000000.0,17985893.0,Embassy Pictures,1980's
Dragonslayer,PG,Action,1981,6.7,Matthew Robbins,18000000.0,14110013.0,Paramount Pictures,1980's
Cutter's Way,R,Crime,1981,6.9,Ivan Passer,3000000.0,1752634.0,Gurian Entertainment,1980's
Quest for Fire,R,Adventure,1981,7.3,Jean-Jacques Annaud,12500000.0,20962615.0,International Cinema Corporation (ICC),1980's
The Final Conflict,R,Horror,1981,5.6,Graham Baker,5000000.0,20471382.0,Twentieth Century Fox,1980's
Mommie Dearest,R,Biography,1981,6.7,Frank Perry,5000000.0,19032261.0,Paramount Pictures,1980's
Private Lessons,R,Comedy,1981,5.2,Alan Myerson,2800000.0,26279000.0,Barry & Enright Productions,1980's
The Postman Always Rings Twice,R,Crime,1981,6.6,Bob Rafelson,12000000.0,12376625.0,CIP Filmproduktion GmbH,1980's
Ragtime,PG,Drama,1981,7.3,Milos Forman,35633551.262477234,14920781.0,Dino De Laurentiis Company,1980's
Deadly Blessing,R,Horror,1981,5.6,Wes Craven,2500000.0,8279042.0,PolyGram Filmed Entertainment,1980's
Eyewitness,R,Crime,1981,6.0,Peter Yates,8500000.0,6400000.0,Twentieth Century Fox,1980's
Gallipoli,PG,Adventure,1981,7.4,Peter Weir,35633551.262477234,5732587.0,R&R Films,1980's
Outland,R,Action,1981,6.6,Peter Hyams,16000000.0,17374595.0,The Ladd Company,1980's
Southern Comfort,R,Action,1981,7.2,Walter Hill,35633551.262477234,78599553.90186103,Cinema Group Ventures,1980's
S.O.B.,R,Comedy,1981,6.4,Blake Edwards,12000000.0,14867086.0,Artista Management,1980's
The Beyond,R,Horror,1981,6.8,Lucio Fulci,400000.0,123843.0,Fulvia Film,1980's
Ghost Story,R,Drama,1981,6.3,John Irvin,35633551.262477234,23371905.0,Universal Pictures,1980's
My Bloody Valentine,R,Horror,1981,6.3,George Mihalka,35633551.262477234,5672031.0,Canadian Film Development Corporation (CFDC),1980's
The Funhouse,R,Horror,1981,5.9,Tobe Hooper,35633551.262477234,7886857.0,Universal Pictures,1980's
One from the Heart,R,Drama,1981,6.5,Francis Ford Coppola,26000000.0,636796.0,Zoetrope Studios,1980's
The French Lieutenant's Woman,R,Drama,1981,7.0,Karel Reisz,35633551.262477234,26890068.0,Juniper Films,1980's
The Great Muppet Caper,G,Adventure,1981,7.2,Jim Henson,35633551.262477234,31206251.0,Henson Associates (HA),1980's
True Confessions,R,Crime,1981,6.3,Ulu Grosbard,10000000.0,12850276.0,Chartoff-Winkler Productions,1980's
Looker,PG,Drama,1981,6.1,Michael Crichton,8000000.0,78599553.90186103,The Ladd Company,1980's
Nighthawks,R,Action,1981,6.4,Bruce Malmuth,5000000.0,19905359.0,Universal Pictures,1980's
Nice Dreams,R,Comedy,1981,6.2,Tommy Chong,35633551.262477234,37000000.0,C & C Brown Production,1980's
Sharky's Machine,R,Action,1981,6.3,Burt Reynolds,35633551.262477234,35610100.0,Deliverance Productions,1980's
Neighbors,R,Comedy,1981,5.6,John G. Avildsen,8500000.0,29916207.0,Columbia Pictures,1980's
Puberty Blues,R,Comedy,1981,5.9,Bruce Beresford,35633551.262477234,237000.0,Limelight Productions (II),1980's
Eye of the Needle,R,Romance,1981,7.1,Richard Marquand,35633551.262477234,17583634.0,Kings Road Entertainment,1980's
Wolfen,R,Horror,1981,6.3,Michael Wadleigh,17000000.0,10626725.0,Orion Pictures,1980's
Student Bodies,R,Comedy,1981,5.5,Mickey Rose,35633551.262477234,5165432.0,Allen Smithee Classic Films,1980's
Prince of the City,R,Crime,1981,7.5,Sidney Lumet,8600000.0,8124257.0,Orion Pictures,1980's
The Hand,R,Drama,1981,5.5,Oliver Stone,35633551.262477234,2447576.0,Orion Pictures,1980's
Continental Divide,PG,Comedy,1981,6.2,Michael Apted,35633551.262477234,15578237.0,Universal Pictures,1980's
Diva,R,Music,1981,7.2,Jean-Jacques Beineix,35633551.262477234,110014.0,Les Films Galaxie,1980's
Venom,R,Horror,1981,5.8,Piers Haggard,35633551.262477234,5229643.0,Morison Film Group,1980's
Fort Apache the Bronx,R,Crime,1981,6.7,Daniel Petrie,35633551.262477234,29200000.0,Time Life Films,1980's
Eyes of a Stranger,R,Horror,1981,6.0,Ken Wiederhorn,800000.0,1118634.0,Georgetown Productions Inc.,1980's
Zorro: The Gay Blade,PG,Action,1981,6.2,Peter Medak,35633551.262477234,78599553.90186103,Melvin Simon Productions,1980's
Under the Rainbow,PG,Comedy,1981,5.4,Steve Rash,20000000.0,18826490.0,Innovisions,1980's
Carbon Copy,PG,Comedy,1981,5.6,Michael Schultz,6000000.0,9566593.0,DeHaven/Shapiro Productions,1980's
The Incredible Shrinking Woman,PG,Comedy,1981,5.5,Joel Schumacher,35633551.262477234,20259961.0,Lija Productions,1980's
The Night the Lights Went Out in Georgia,PG,Drama,1981,6.0,Ron Maxwell,35633551.262477234,14923752.0,Viacom Enterprises,1980's
Quartet,R,Drama,1981,6.3,James Ivory,35633551.262477234,12042.0,Merchant Ivory Productions,1980's
Graduation Day,R,Horror,1981,4.9,Herb Freed,250000.0,78599553.90186103,Baughn/Freed Productions,1980's
Modern Problems,PG,Comedy,1981,5.1,Ken Shapiro,8000000.0,26154211.0,Twentieth Century Fox,1980's
Pennies from Heaven,R,Drama,1981,6.5,Herbert Ross,22000000.0,9171289.0,Metro-Goldwyn-Mayer (MGM),1980's
American Pop,R,Animation,1981,7.2,Ralph Bakshi,1500000.0,78599553.90186103,Bakshi Productions,1980's
The Legend of the Lone Ranger,PG,Action,1981,5.1,William A. Fraker,18000000.0,12617845.0,Eaves Movie Ranch,1980's
Sphinx,PG,Adventure,1981,5.2,Franklin J. Schaffner,14000000.0,2022771.0,Orion Pictures,1980's
Night School,R,Horror,1981,5.6,Ken Hughes,35633551.262477234,1169875.0,Lorimar Productions,1980's
An Eye for an Eye,R,Action,1981,5.5,Steve Carver,3800000.0,78599553.90186103,Adams Apple Film Company,1980's
Zoot Suit,R,Drama,1981,6.8,Luis Valdez,2700000.0,3256082.0,Universal Pictures,1980's
Rich and Famous,R,Drama,1981,5.9,George Cukor,35633551.262477234,14492125.0,Jaquet,1980's
Buddy Buddy,R,Comedy,1981,6.5,Billy Wilder,10000000.0,7258543.0,Heron Productions,1980's
Bustin' Loose,R,Comedy,1981,6.1,Oz Scott,11000000.0,31261269.0,Universal Pictures,1980's
Modern Romance,R,Comedy,1981,7.0,Albert Brooks,35633551.262477234,2863642.0,Columbia Pictures,1980's
Heartbeeps,PG,Comedy,1981,4.3,Allan Arkush,12000000.0,2154696.0,Universal Pictures,1980's
Back Roads,R,Adventure,1981,5.6,Martin Ritt,35633551.262477234,11809387.0,CBS Theatrical Films,1980's
Take This Job and Shove It,PG,Comedy,1981,5.0,Gus Trikonis,3500000.0,17569027.0,Cinema Group Ventures,1980's
Raggedy Man,R,Drama,1981,6.8,Jack Fisk,35633551.262477234,1976198.0,Universal Pictures,1980's
Whose Life Is It Anyway?,R,Comedy,1981,7.3,John Badham,13000000.0,8206145.0,Metro-Goldwyn-Mayer (MGM),1980's
Inchon,PG,Drama,1981,2.7,Terence Young,46000000.0,5200986.0,One Way Productions,1980's
All Night Long,R,Comedy,1981,5.5,Jean-Claude Tramont,14000000.0,4454295.0,Universal Pictures,1980's
The Pursuit of D.B. Cooper,PG,Adventure,1981,5.6,Roger Spottiswoode,12000000.0,3702028.0,PolyGram Pictures,1980's
Rollover,R,Drama,1981,5.4,Alan J. Pakula,16000000.0,10851261.0,IPC Films,1980's
Only When I Laugh,R,Comedy,1981,6.5,Glenn Jordan,35633551.262477234,25524778.0,Columbia Pictures,1980's
Honky Tonk Freeway,PG,Action,1981,5.2,John Schlesinger,24000000.0,2004742.0,EMI Films,1980's
Paternity,PG,Comedy,1981,4.9,David Steinberg,35633551.262477234,18838812.0,Paramount Pictures,1980's
King of the Mountain,PG,Action,1981,5.5,Noel Nosseck,2000000.0,1791147.0,PolyGram Pictures,1980's
Scream,R,Horror,1981,2.9,Byron Quisenberry,35633551.262477234,78599553.90186103,Calendar International Pictures,1980's
The Devil and Max Devlin,PG,Comedy,1981,5.0,Steven Hilliard Stern,35633551.262477234,16000000.0,Walt Disney Productions,1980's
The Amateur,R,Crime,1981,5.8,Charles Jarrott,35633551.262477234,6892098.0,Balkan Productions,1980's
Longshot,TV-PG,Comedy,1981,5.1,E.W. Swackhamer,35633551.262477234,78599553.90186103,Greentree,1980's
Comin' at Ya!,R,Western,1981,5.1,Ferdinando Baldi,35633551.262477234,12000000.0,Lupo-Anthony-Quintano Productions,1980's
Le Pont du Nord,Not Rated,Adventure,1981,6.9,Jacques Rivette,35633551.262477234,17110.0,Les Films du Losange,1980's
Silence of the North,PG,Drama,1981,6.3,Allan King,35633551.262477234,1622898.0,Universal Pictures,1980's
Fast Times at Ridgemont High,R,Comedy,1982,7.2,Amy Heckerling,4500000.0,27092880.0,Universal Pictures,1980's
Blade Runner,R,Action,1982,8.1,Ridley Scott,28000000.0,41676878.0,The Ladd Company,1980's
The Thing,R,Horror,1982,8.1,John Carpenter,15000000.0,19632053.0,Universal Pictures,1980's
Conan the Barbarian,R,Action,1982,6.9,John Milius,20000000.0,68851475.0,Universal Pictures,1980's
E.T. the Extra-Terrestrial,PG,Family,1982,7.8,Steven Spielberg,10500000.0,792910554.0,Universal Pictures,1980's
First Blood,R,Action,1982,7.7,Ted Kotcheff,15000000.0,125212904.0,Anabasis N.V.,1980's
An Officer and a Gentleman,R,Drama,1982,7.0,Taylor Hackford,7500000.0,129795554.0,Lorimar Film Entertainment,1980's
Grease 2,PG,Comedy,1982,4.4,Patricia Birch,13200000.0,15171476.0,Paramount Pictures,1980's
Annie,PG,Comedy,1982,6.6,John Huston,50000000.0,57063861.0,Columbia Pictures,1980's
Poltergeist,PG,Horror,1982,7.3,Tobe Hooper,10700000.0,77142388.0,Metro-Goldwyn-Mayer (MGM),1980's
48 Hrs.,R,Action,1982,6.9,Walter Hill,12000000.0,78868508.0,Paramount Pictures,1980's
Star Trek II: The Wrath of Khan,PG,Action,1982,7.7,Nicholas Meyer,11200000.0,78912963.0,Paramount Pictures,1980's
Paradise,R,Adventure,1982,4.9,Stuart Gillard,35633551.262477234,5588800.0,Embassy Pictures,1980's
The Last American Virgin,R,Comedy,1982,6.3,Boaz Davidson,35633551.262477234,5829781.0,Cannon Group,1980's
Sophie's Choice,R,Drama,1982,7.6,Alan J. Pakula,12000000.0,30036000.0,Incorporated Television Company (ITC),1980's
Gandhi,PG,Biography,1982,8.0,Richard Attenborough,22000000.0,52767889.0,International Film Investors,1980's
Tootsie,PG,Comedy,1982,7.4,Sydney Pollack,21000000.0,177200000.0,Columbia Pictures,1980's
Tron,PG,Action,1982,6.8,Steven Lisberger,17000000.0,33000525.0,Walt Disney Productions,1980's
The Secret of NIMH,G,Animation,1982,7.6,Don Bluth,7000000.0,14665733.0,Aurora,1980's
The King of Comedy,PG,Comedy,1982,7.8,Martin Scorsese,20000000.0,2536242.0,Embassy International Pictures,1980's
Rocky III,PG,Drama,1982,6.8,Sylvester Stallone,17000000.0,125052686.0,Chartoff-Winkler Productions,1980's
The Beastmaster,PG,Action,1982,6.2,Don Coscarelli,8000000.0,14056528.0,Leisure Investment Company,1980's
Creepshow,R,Comedy,1982,6.9,George A. Romero,8000000.0,21028755.0,United Film Distribution Company (UFDC),1980's
The Man from Snowy River,PG,Adventure,1982,7.3,George Miller,3500000.0,20659423.0,Cambridge Productions,1980's
Pink Floyd: The Wall,R,Drama,1982,8.0,Alan Parker,12000000.0,22265763.0,Goldcrest Films International,1980's
Cat People,R,Fantasy,1982,6.2,Paul Schrader,18000000.0,7000000.0,RKO Pictures,1980's
Fanny and Alexander,R,Drama,1982,8.1,Ingmar Bergman,6000000.0,6795771.0,Cinematograph AB,1980's
Friday the 13th Part III,R,Horror,1982,5.7,Steve Miner,2300000.0,36690067.0,Paramount Pictures,1980's
Firefox,PG,Action,1982,6.0,Clint Eastwood,18000000.0,46708276.0,Major Studio Partners,1980's
Halloween III: Season of the Witch,R,Horror,1982,5.0,Tommy Lee Wallace,2500000.0,14400000.0,Dino De Laurentiis Company,1980's
The Dark Crystal,PG,Adventure,1982,7.2,Jim Henson,15000000.0,41630431.0,Incorporated Television Company (ITC),1980's
The Verdict,R,Drama,1982,7.7,Sidney Lumet,16000000.0,53993738.0,Twentieth Century Fox,1980's
Pieces,Not Rated,Horror,1982,6.1,Juan Piquer Simón,300000.0,2032311.0,Almena Films,1980's
Zapped!,R,Comedy,1982,4.9,Robert J. Rosenthal,35633551.262477234,16897768.0,Embassy Pictures,1980's
Six Pack,PG,Comedy,1982,5.9,Daniel Petrie,35633551.262477234,20225989.0,Twentieth Century Fox,1980's
The World According to Garp,R,Comedy,1982,7.2,George Roy Hill,17000000.0,29712172.0,Pan Arts,1980's
Diner,R,Comedy,1982,7.1,Barry Levinson,5000000.0,14099953.0,Metro-Goldwyn-Mayer (MGM),1980's
The Best Little Whorehouse in Texas,R,Comedy,1982,6.0,Colin Higgins,35000000.0,69701637.0,Universal Pictures,1980's
The Year of Living Dangerously,PG,Drama,1982,7.1,Peter Weir,13000000.0,10278575.0,Metro-Goldwyn-Mayer (MGM),1980's
